song_name,artist_name,artist_pop,album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,66,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),0.722,0.893,-3.255,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750
So Pretty,Reyanna Maria,51,So Pretty,0.799,0.543,-6.094,0.24,0.0512,0.0425,0.134,0.25,187.906,85742
Todo De Ti,Rauw Alejandro,89,Todo De Ti,0.78,0.718,-3.605,0.0506,0.31,0.000163,0.0932,0.342,127.949,199604
Write This Down (Instrumental),SoulChef,55,Escapism: Instrumentals,0.826,0.738,-4.658,0.0444,0.00355,0.939,0.0633,0.781,93.005,188421
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,90,Justice,0.677,0.696,-6.181,0.119,0.321,0,0.42,0.464,90.03,198082
positions,Ariana Grande,87,positions,0.736,0.802,-4.759,0.0864,0.468,0,0.094,0.675,144.005,172325
Slow Down,Coopex,60,Slow Down,0.715,0.72,-3.906,0.193,0.134,0,0.366,0.41,128.048,138779
What If,HOURS,35,What If,0.609,0.777,-5.879,0.0353,0.00162,1.28e-06,0.073,0.349,126.001,154286
Running Away,VANO 3000,55,Running Away,0.58,0.696,-10.91,0.0408,0.66,0.852,0.145,0.721,93.688,111787
Aesthetic,Xilo,39,Aesthetic,0.714,0.594,-10.63,0.43,0.965,0.255,0.129,0.45,169.837,158436
Levitating (feat. DaBaby),Dua Lipa,88,Future Nostalgia,0.702,0.825,-3.787,0.0601,0.00883,0,0.0674,0.915,102.977,203064
Work from Home,Coopex,60,Work from Home,0.845,0.669,-7.886,0.0658,0.181,0.00347,0.0897,0.86,125.014,151680
Bundles (feat. Taylor Girlz),Kayla Nicole,54,Bundles (feat. Taylor Girlz),0.939,0.682,-5.931,0.306,0.00152,0,0.0552,0.584,130.022,154806
Sweater Weather,The Neighbourhood,83,I Love You.,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400
As It Was,Michael Shynes,52,As It Was,0.595,0.812,-5.623,0.0481,0.00321,1.38e-06,0.397,0.483,104.98,124571
Follow Me,Senhit,44,Follow Me,0.707,0.867,-4.355,0.05,0.00453,0.00135,0.123,0.485,122.014,158247
Calling My Phone,Lil Tjay,79,Calling My Phone,0.907,0.393,-7.636,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458
